max_filters,Iteration,layers,filters,conv_lambda,num_conv_blocks,epoch_loss,epoch_sparse_categorical_mean_dsc,log_epoch_loss
32,0,2,16,0,2,0.018968448,0.737725794,-1.721968201
64,0,2,16,0,2,0.024690425,0.669830084,-1.607471434
64,0,3,32,0,2,0.139619261,0.337049812,-0.855054665
64,1,2,32,0,2,0.028329818,0.586789846,-1.547756222
128,1,2,32,0,2,0.028313663,0.585461676,-1.548003944
32,1,3,16,0,2,0.328032106,0.179172888,-0.484083648
64,1,3,16,0,2,0.201349318,0.216607988,-0.696049837
128,1,3,16,0,2,0.202766985,0.216004416,-0.693002757
32,1,3,32,0,2,0.279650599,0.175831005,-0.553384246
64,1,3,32,0,2,0.064936116,0.236854658,-1.187513689
128,1,3,32,0,2,0.193004981,0.228756994,-0.714431483
32,1,4,16,0,2,0.558392704,0.128681764,-0.253060265
64,1,4,16,0,2,0.838266611,0.119791515,-0.076617832
128,0,3,32,0,2,0.044351257,0.5711748,-1.353094063
128,1,4,16,0,2,0.649596035,0.123180494,-0.187356634
32,1,4,32,0,2,0.547518909,0.121623121,-0.261600878
64,1,4,32,0,2,1.698309541,0.109122954,0.230016849
128,1,4,32,0,2,1.59779191,0.109069973,0.203520218
64,1,2,16,0,2,0.016185736,0.760323107,-1.79086754
128,1,2,16,0,2,0.016102092,0.733425438,-1.793117687
32,1,2,32,0,2,0.019026225,0.720644355,-1.720647362
64,1,2,32,0,2,0.019075578,0.751796722,-1.719522292
128,1,2,32,0,2,0.016463479,0.766640663,-1.783478385
32,1,3,16,0,2,0.677569985,0.141718492,-0.16904584
32,0,4,16,0,2,1.080111861,0.131740063,0.033468735
64,1,3,16,0,2,0.050486777,0.533868015,-1.296822353
128,1,3,16,0,2,0.042532016,0.597504973,-1.371284036
32,1,3,32,0,2,0.027212847,0.678642333,-1.56522602
64,1,3,32,0,2,0.037650798,0.592705727,-1.42422582
128,1,3,32,0,2,0.069792435,0.433880359,-1.156191652
32,1,4,16,0,2,0.125786558,0.354406238,-0.900365767
64,1,4,16,0,2,0.233656734,0.259051591,-0.631421698
128,1,4,16,0,2,0.753926635,0.176152304,-0.122670914
32,1,4,32,0,2,0.030117679,0.654150486,-1.521178494
64,1,4,32,0,2,0.047185127,0.594654202,-1.326194875
64,0,4,16,0,2,0.118747905,0.391313165,-0.925374044
128,1,4,32,0,2,0.112934269,0.388590515,-0.947174255
64,1,2,16,0,2,0.029698763,0.526094258,-1.527261639
128,1,2,16,0,2,0.029734094,0.527099311,-1.526745294
32,1,2,32,0,2,0.050349634,0.457001686,-1.298003681
64,1,2,32,0,2,0.028309861,0.594998956,-1.54806226
128,1,2,32,0,2,0.028286396,0.594896436,-1.548422389
32,1,3,16,0,2,0.289247006,0.181424037,-0.538731127
64,1,3,16,0,2,0.264068782,0.189762056,-0.578282937
128,1,3,16,0,2,0.264324009,0.189855769,-0.577863387
32,1,3,32,0,2,0.397232026,0.157733515,-0.400955745
128,0,4,16,0,2,0.0594051,0.493744731,-1.226176272
64,1,3,32,0,2,0.090209514,0.209502086,-1.044747657
128,1,3,32,0,2,0.149073467,0.227943122,-0.826599649
32,1,4,16,0,2,0.466548741,0.131009072,-0.331102978
64,1,4,16,0,2,0.592953086,0.121889547,-0.226979666
128,1,4,16,0,2,0.384404838,0.129967108,-0.415211155
32,1,4,32,0,2,0.650022328,0.113472007,-0.187071725
64,1,4,32,0,2,1.369057655,0.110660583,0.136421738
128,1,4,32,0,2,1.577278137,0.109032497,0.197908284
64,2,2,16,0,2,0.023061911,0.679265857,-1.637104715
128,2,2,16,0,2,0.016604211,0.776237071,-1.779781752
32,0,4,32,0,2,0.139654398,0.294352263,-0.854945383
32,2,2,32,0,2,0.018598145,0.7356866,-1.730530374
64,2,2,32,0,2,0.029652938,0.619616151,-1.527932267
128,2,2,32,0,2,0.017350668,0.747729242,-1.760683798
32,2,3,16,0,2,0.023811957,0.699029863,-1.623204913
64,2,3,16,0,2,0.103489108,0.365039825,-0.985105355
128,2,3,16,0,2,0.151782602,0.283357829,-0.818778006
32,2,3,32,0,2,0.081029288,0.403894395,-1.091357975
64,2,3,32,0,2,0.05773833,0.440501571,-1.23853578
128,2,3,32,0,2,0.050033327,0.515379667,-1.300740616
32,2,4,16,0,2,0.041953176,0.564202428,-1.377235153
64,0,4,32,0,2,0.05025997,0.513140917,-1.298777774
64,2,4,16,0,2,0.051096894,0.460983455,-1.2916055
128,2,4,16,0,2,0.041571103,0.532973409,-1.381208452
32,2,4,32,0,2,0.037774321,0.580911756,-1.422803337
64,2,4,32,0,2,0.03103571,0.638725221,-1.508138313
128,2,4,32,0,2,0.061775498,0.485707968,-1.209183744
64,2,2,16,0,2,0.023827266,0.575477302,-1.622925788
128,2,2,16,0,2,0.023838565,0.575438201,-1.622719896
32,2,2,32,0,2,0.019573776,0.721063256,-1.708325385
64,2,2,32,0,2,0.028731991,0.50851649,-1.541634284
128,2,2,32,0,2,0.028715637,0.509324312,-1.541881552
128,0,4,32,0,2,0.083021872,0.472009838,-1.08080748
32,2,3,16,0,2,0.131433874,0.263596177,-0.88129269
64,2,3,16,0,2,0.137715057,0.30164209,-0.861018575
128,2,3,16,0,2,0.137540281,0.302606255,-0.861570093
32,2,3,32,0,2,0.179333642,0.210593015,-0.746338231
64,2,3,32,0,2,0.213919446,0.174986213,-0.669749735
128,2,3,32,0,2,0.962817371,0.143512577,-0.016456083
32,2,4,16,0,2,0.805051982,0.134043515,-0.094176076
64,2,4,16,0,2,2.367568016,0.108718015,0.374302464
128,2,4,16,0,2,0.7930336,0.115103602,-0.100708412
32,2,4,32,0,2,0.657140672,0.122569591,-0.182341652
32,0,2,16,0,2,0.02942268,0.507607102,-1.531317773
64,2,4,32,0,2,1.177669644,0.110437497,0.071023481
128,2,4,32,0,2,2.132162809,0.108821295,0.328820364
64,2,2,16,0,2,0.018729726,0.737813056,-1.727468579
128,2,2,16,0,2,0.017145652,0.750751138,-1.765845987
32,2,2,32,0,2,0.018956378,0.732462227,-1.722244637
64,2,2,32,0,2,0.016519818,0.760910869,-1.78199473
128,2,2,32,0,2,0.015091652,0.781736314,-1.821263216
32,2,3,16,0,2,0.061643597,0.506293297,-1.210112029
64,2,3,16,0,2,0.051218498,0.512611866,-1.290573157
128,2,3,16,0,2,0.035085343,0.61864531,-1.454874276
64,0,2,16,0,2,0.029456813,0.506819844,-1.530814244
32,2,3,32,0,2,0.029555686,0.626786888,-1.529358959
