MRN description
LiTs_102 TRAIN
LiTs_130 TRAIN
LiTs_111 TRAIN
LiTs_65 TRAIN
LiTs_125 TRAIN
LiTs_27 TRAIN
LiTs_88 TRAIN
LiTs_82 TRAIN
LiTs_59 TRAIN
LiTs_23 TRAIN
LiTs_60 TRAIN
LiTs_39 TRAIN
LiTs_69 TRAIN
LiTs_76 TRAIN
LiTs_93 TRAIN
LiTs_0 TRAIN
LiTs_97 TRAIN
LiTs_79 TRAIN
LiTs_112 TRAIN
LiTs_117 TRAIN
LiTs_126 TRAIN
LiTs_68 TRAIN
LiTs_113 TRAIN
LiTs_120 TRAIN
LiTs_62 TRAIN
LiTs_17 TRAIN
LiTs_118 TRAIN
LiTs_86 TRAIN
LiTs_44 TRAIN
LiTs_63 TRAIN
LiTs_84 TRAIN
LiTs_28 TRAIN
LiTs_56 TRAIN
LiTs_15 TRAIN
LiTs_24 TRAIN
LiTs_50 TRAIN
LiTs_13 TRAIN
LiTs_51 TRAIN
LiTs_104 TRAIN
LiTs_8 TRAIN
LiTs_58 TRAIN
LiTs_75 TRAIN
LiTs_73 TRAIN
LiTs_49 TRAIN
LiTs_48 TRAIN
LiTs_61 TRAIN
LiTs_25 TRAIN
LiTs_40 TRAIN
LiTs_35 TRAIN
LiTs_108 TRAIN
LiTs_109 TRAIN
LiTs_116 TRAIN
LiTs_96 TRAIN
LiTs_12 TRAIN
LiTs_42 TRAIN
LiTs_6 TRAIN
LiTs_2 TRAIN
LiTs_92 TRAIN
LiTs_18 TRAIN
LiTs_77 TRAIN
LiTs_81 TRAIN
LiTs_122 TRAIN
LiTs_20 TRAIN
LiTs_110 TRAIN
LiTs_70 TRAIN
LiTs_16 TRAIN
LiTs_57 TEST
LiTs_129 TEST
LiTs_36 TEST
LiTs_103 TEST
LiTs_100 TEST
LiTs_66 TEST
LiTs_33 TEST
LiTs_72 TEST
LiTs_4 TEST
LiTs_9 TEST
LiTs_107 TEST
LiTs_7 TEST
LiTs_127 TEST
LiTs_94 TEST
LiTs_53 TEST
LiTs_90 TEST
LiTs_52 TEST
LiTs_64 TEST
LiTs_11 TEST
LiTs_80 TEST
LiTs_19 TEST
LiTs_5 TEST
LiTs_46 TEST
LiTs_31 TEST
LiTs_67 TEST
LiTs_29 TEST
LiTs_10 TEST
LiTs_55 TEST
LiTs_71 TEST
LiTs_85 TEST
LiTs_14 TEST
LiTs_78 TEST
LiTs_3 TEST
LiTs_101 TEST
LiTs_43 TEST
LiTs_99 TEST
LiTs_83 TEST
LiTs_74 VALIDATION
LiTs_121 VALIDATION
LiTs_54 VALIDATION
LiTs_95 VALIDATION
LiTs_30 VALIDATION
LiTs_1 VALIDATION
LiTs_21 VALIDATION
LiTs_22 VALIDATION
LiTs_128 VALIDATION
LiTs_26 VALIDATION
LiTs_123 VALIDATION
LiTs_98 VALIDATION
LiTs_124 VALIDATION
LiTs_37 VALIDATION
LiTs_45 VALIDATION
